Channel,Video_ID,Author,Comment,Likes,Published_At
EKHON TV,fZ2bOTQE_1U,@MdMostofa-oh4yn,আমার এক ভাতিজা শেষ,0,2026-04-01T19:05:25Z
EKHON TV,fZ2bOTQE_1U,@MdkamalislamRumana,০ থেকে  ৫ মাসের  তাতের জন্য  টিকার কি কোন অবস্থা আছে,0,2026-04-02T07:39:13Z
Dr. Sharif Dolan,881d3WtIQ9I,@badboyrishad3651,"কত বাবা মা এর কোল খালি হয়ে যাচ্ছে এই হাম এ, মোবাইল এ শুধু দেখেই যাচ্ছি, তাদের জন্য কিছুই করতে পারছি না, জানি না সরকার এর উদ্যোগ নিতে নিতে আর কত শিশু মৃত্যুর মুখে হেলিয়ে পড়বে। আল্লাহ আপনি হেফাজত করুন 😢😢",1,2026-05-11T18:26:12Z
Dr. Sharif Dolan,881d3WtIQ9I,@jabedkhan2457,আমার বাচ্চার হাম আলহামদুলিল্লাহ আগের থেকে ভালো আছে কিন্তু আজকে হঠাৎ চোখ মুখ ফুলে গেছে করনীয় কী?,1,2026-05-11T18:40:27Z
Dr. Sharif Dolan,881d3WtIQ9I,@MdAraf-b9v,হে আল্লাহ তুমি আমার ভাগ্নে সহ সব বাচ্চাকে তুমি সুস্থ রেখো,2,2026-04-19T09:31:05Z
Dr. Sharif Dolan,881d3WtIQ9I,@EasminAkter-p8x9h,আমার বাচ্চার বয়স ৬ বছর ওর কি হাম হওয়ার সম্বববোনা আছে ওর ঠান্ডা লাগসে আবার শরীরের লাল লাল দাগ দেখা যাচ্ছে,1,2026-04-13T18:55:31Z
Dr. Sharif Dolan,881d3WtIQ9I,@FamilyLover-d9e,আমার বাইরে থাকি এবং প্রথম রমজানে দেশে এসেছি... আসার পর থেকে আমার জমজ বাচ্চার প্রথমে জ্বর তারপরে ঠান্ডা তারপরে চোখে ময়লা এবং চোখ লাল তারপরে শরীরে লাল লাল ফুসকুড়ি এবং একজনের বমি😢😢 সব কিছু হাম এর লক্ষণ মনে হচ্ছে.. এখন করণীয় কি ?,4,2026-03-30T19:21:12Z
Dr. Sharif Dolan,881d3WtIQ9I,@MDRuhulamin-em3xt,স্যার আমার বাচ্চার বয়স 9 মাস কিছুদিন আগে ভাইরাল ডায়রিয়া আক্রান্ত হয়েছিল। দুই দিন আগে হামের ভ্যাকসিন দেয় তার দুই দিন পর থেকে বাচ্চার শরীরে অনেক জ্বর মুখে ঘা এবং কোন খাবার খাচ্ছে না আমি এখন কি করবো বলেন স্যার প্লিজ,1,2026-04-14T09:19:41Z
Dr. Sharif Dolan,881d3WtIQ9I,@Kalam-v4o,সার আমার বাবু আট মাস চলে ঠান্ডা জর শরীরে লাল লাল বের হয়ছে কি করমু কই নিয়ে জামু,1,2026-04-06T01:42:59Z
Dr. Sharif Dolan,881d3WtIQ9I,@MdOliollha-y6o,"স্যার, আমার বেবির 2মাস 8দিন এখন তার নিমোনিয়া দেখা দেয় ,তারপর বিশেষজ্ঞ ডাক্তার দেখিয়ে ইঞ্জেকশন দেই,এখন শরিরে লাল ফুসকুড়ি দেখা দেয় ফার্মেসী থেকে অসুধ এনে দিয়েছি কম বুজতেছি শরিরে জর থাকে, এখন একটা মলম এর নাম বলে দিলে ভালো হয় আর এইটা কি হাম?প্লিজ জানাবেন বিস্তারিত",1,2026-04-10T16:54:52Z
Dr. Sharif Dolan,881d3WtIQ9I,@tuhinafridibd,টিকা দেওয়া পর কি হওয়ার সম্ভবনা আছে?,1,2026-05-10T19:35:56Z
Dr. Sharif Dolan,881d3WtIQ9I,@ANGURABEGUM-d7n,"আমার বাবুর বয়স ১৪ মাস,, আজকে ২ দিন ধরে খুব জ্বর। কিন্তু ঠান্ডা, কাশি, র্্যশ বা  চোখ লাল এসব কিছু নাই কিন্তু আজকে হঠাৎ চোখ অনেক চুলাকাইছে,, এইটা কি ভয়ের কিছু প্লিজ বলবেন।",1,2026-04-03T16:47:03Z
Dr. Sharif Dolan,881d3WtIQ9I,@ashikurrhuman3064,স্যার  আমার বাচ্চার হামের টিকা নেওয়া আছে এখন যদি কোন হামে আক্রান্ত বাচ্চার  সংস্পর্শে আসে তাহলে আমার বাচ্চার রিক্স আছে কিনা,1,2026-04-01T06:41:51Z
Dr. Sharif Dolan,881d3WtIQ9I,@MonerKothaTube,বাচ্চা ২বছর বয়স. হঠাৎ সারা গায়ে চুলকানি হয়ে লাল লাল হয়ে গেছে।হামের অন্য কোন লক্ষণ নেই আলহামদুলিল্লাহ। হাম কি হঠাৎ করে হয়। নাকি এটা এলার্জি। লাল লাল গুটি গুটি হয়েছে পায়ের দিকে পিঠের দিকে।,1,2026-04-02T11:48:38Z
Dr. Sharif Dolan,881d3WtIQ9I,@mstmahmuda2791,স্যার আমার বাচ্চার জ্বর হয়েছে সর্দি আছে নাক দিয়ে পানি পড়ছে কাশি আছে কিন্তু রেস নেই পাতলা পায়খানা ছিল এখন ভালো হয়ে গেছে সাথে বমি আছে এটা কি হামের লক্ষণ,1,2026-04-07T16:03:16Z
Dr. Sharif Dolan,881d3WtIQ9I,@MDAnam-s3x,আসসালামু আলাইকুম স্যার আমি একজন প্রবাশি <br>আমার মেয়ের বয়স আজকে ৩৫ দিন <br>আমার মেয়ের ও এই লক্ষ্যন গুলো আছে তার শরীরে <br>এখন এই ক্ষেত্রে আমার করনীয় কী? <br><br>অনুরোধ স্যার একটু জরুরি জানানোর চেষ্টা কইরেন৷,1,2026-03-30T16:49:52Z
Dr. Sharif Dolan,881d3WtIQ9I,@Mahamuda-k1k6q,আমার ছেলের হাত পা ঘামাচির মতো লাল হয়ে গেছে চোখে ময়লা হয়।কিনতু জ্বর বা ঠান্ডা নেই এ কি হামে পিলিজ জানাবেন,1,2026-04-01T05:25:12Z
Dr. Sharif Dolan,881d3WtIQ9I,@AbuSofian-n2w,"স্যার দুই ঘণ্টা না যেতে জ্বর চলে আসে চার ঘন্টা পর পর দিতে পারবো নাপা সিরাপ,বাবুর বয়স ছয় মাস",1,2026-04-08T09:37:46Z
Dr. Sharif Dolan,881d3WtIQ9I,@সাজিদ-দ৫প,"আমার বাচ্চার টিকা মাএ তিন টা দিচি আর দিতে পারিনি 😢,,টিকা দিতে গেলে বলতো টিকা আসে নাই, তারপর আমি ঢাকায় চলে আসছি আর টিকা দেওয়া হয় নাই 😢",1,2026-04-01T16:40:19Z
Dr. Sharif Dolan,881d3WtIQ9I,@SABIKUNNAHARKEYA,স্যার আমার ছেলের চোখ থেকে পানি ও পুজ বের হইতাছে ওষুধ খাওয়াইতাছি কমতেছে না এটা কি হামের লক্ষন??,1,2026-04-01T12:38:08Z
